放棄的理由只需要一個，繼續的理由卻有很多。 | 鬼滅之刃
如果我不去救，那誰去救？ | 鳴人（火影忍者）
失去了重要的東西，才知道它有多重要。 | 進擊的巨人
變強不是為了擊敗別人，是為了保護重要的人。 | 熱血動漫主題
害怕是正常的，但不能讓恐懼阻止你前進。 | 鬼滅之刃
活著，就是最大的勝利。 | 進擊的巨人
如果你連自己都放棄了，那就真的沒有人能幫你了。 | 我的英雄學院
眼淚代表你認真活過。 | 灌籃高手
再痛，也要撐到最後一秒。 | 熱血動漫精神
相信我，就算跌倒一千次，我也會站起來一千零一次。 | 熱血動漫精神
不管別人怎麼看，我要活出自己的方式。 | 個人主義動漫
英雄不是天生的，是被逼出來的。 | 我的英雄學院
世界並不溫柔，但還是有人願意變成光。 | 動漫觀察
就算全世界與我為敵，只要你站在我身邊就夠了。 | 戀愛動漫
人的一生，不可能活得毫無遺憾，但可以選擇遺憾的方向。 | 夏目友人帳
強者，不是打倒別人，而是能扛起別人放棄的東西。 | 熱血動漫格言
哭完就繼續，這就是人生。 | 動漫人生觀
我不知道自己的未來，但我不後悔自己的過去。 | 火影忍者
我的眼睛看到了太多悲傷，卻也看到了足夠的希望。 | 進擊的巨人
你不需要為了別人而活，但你可以為了別人而努力。 | 動漫格言
就算被全世界嘲笑，我也不會嘲笑我自己的夢想。 | 海賊王
同伴的眼淚，比任何攻擊都更讓我痛。 | 熱血動漫
最強的敵人，永遠是過去的自己。 | 熱血動漫哲學
不管未來多黑暗，黎明總在那裡等著。 | 鬼滅之刃
記憶讓人痛苦，但也讓人堅強。 | 夏目友人帳
如果有人願意為你哭泣，你就不是真的孤單。 | 感人動漫
笑著前進，比哭著後退更難，也更有意義。 | 熱血動漫
一個人的力量是有限的，但願意站出來本身就是無限的。 | 我的英雄學院
失去才知道珍貴，但別等到失去才去珍惜。 | 動漫格言
我可以接受失敗，但我不能接受放棄。 | 體育競技動漫
就算是怪物，只要有心，也可以成為英雄。 | 異形英雄動漫
我的夢想，不是成為最強，而是永遠不放棄。 | 火影忍者·鳴人
傷疤是勇氣的證明，不是弱點的標記。 | 熱血動漫
朋友，是那個在你最低谷時還願意站在你旁邊的人。 | 熱血友情動漫
每一個巨大的目標，都是從一個小小的決心開始的。 | 我的英雄學院
時間能治癒一切，但有些傷口需要你主動去癒合。 | 治癒系動漫
就算世界崩塌，只要還有一個理由站著，就要站著。 | 進擊的巨人
你所擁有的最強武器，是你心中那份不服輸的信念。 | 熱血動漫
沒有人天生就是壞人，只有走錯了路的人。 | 善惡反轉動漫
我不需要你的認可，我只需要我自己的認可。 | 個性派主角
即使是螢火蟲，在最暗的夜晚也是一盞燈。 | 夏目友人帳
強大不是不哭，強大是哭完還能站起來。 | 現代動漫
你走過的每一步路，都是你故事的一部分。 | 成長系動漫
有些告別是沒有再見的，所以每一次相遇都要好好珍惜。 | 感人動漫
這個世界很殘酷，但也因此更美麗。 | 進擊的巨人
就算是一個人，也要走到最後。 | 孤高主角系動漫
我沒有力量，但我有不認輸的心。 | 熱血動漫
人活著，就要燃燒。 | 鬼滅之刃
那些以為的終點，其實只是下一段旅程的起點。 | 旅途動漫
愛，是讓自己變強的最大理由。 | 熱血動漫核心
