菩提本無樹，明鏡亦非台。本來無一物，何處惹塵埃。 | 惠能
行到水窮處，坐看雲起時。 | 王維
採菊東籬下，悠然見南山。 | 陶淵明
春有百花秋有月，夏有涼風冬有雪。若無閒事掛心頭，便是人間好時節。 | 慧開禪師
回首向來蕭瑟處，歸去，也無風雨也無晴。 | 蘇軾
萬物靜觀皆自得，四時佳興與人同。 | 程顥
大智若愚，大巧若拙。 | 老子
人法地，地法天，天法道，道法自然。 | 老子
水善利萬物而不爭，處眾人之所惡，故幾於道。 | 老子
清風徐來，水波不興。 | 蘇軾
蟬噪林逾靜，鳥鳴山更幽。 | 王籍
隨富隨貧且歡樂，不開口笑是癡人。 | 白居易
空山新雨後，天氣晚來秋。明月松間照，清泉石上流。 | 王維
淡泊以明志，寧靜以致遠。 | 諸葛亮
花看半開，酒飲微醺。 | 洪應明
寵辱不驚，看庭前花開花落；去留無意，望天空雲卷雲舒。 | 洪應明
風來疏竹，風過而竹不留聲；雁渡寒潭，雁去而潭不留影。 | 洪應明
心無物欲，即是秋空霽海；坐有琴書，便成仙境蓬萊。 | 洪應明
獨坐幽篁裏，彈琴復長嘯。深林人不知，明月來相照。 | 王維
靜坐常思己過，閒談莫論人非。 | 佚名
山中何所有，嶺上多白雲。只可自怡悅，不堪持贈君。 | 陶弘景
莫聽穿林打葉聲，何妨吟嘯且徐行。 | 蘇軾
竹杖芒鞋輕勝馬，誰怕？一蓑煙雨任平生。 | 蘇軾
人生如逆旅，我亦是行人。 | 蘇軾
萬壑樹參天，千山響杜鵑。 | 王維
溪聲便是廣長舌，山色無非清淨身。 | 蘇軾
一花一世界，一葉一菩提。 | 佛經
凡牆都是門，凡退都是進。 | 禪語
一念心清淨，蓮花處處開。 | 佛經
水流心不競，雲在意俱遲。 | 杜甫
山不解釋自己的高度，並不影響它的聳立。 | 禪語
木落雁南度，北風江上寒. | 孟浩然
雲散日出，水落石出，自然之理。 | 禪語
鳥宿池邊樹，僧敲月下門。 | 賈島
掬水月在手，弄花香滿衣。 | 于良史
野花開滿路，寂寞也芬芳。 | 禪語
大道至簡，悟在天成。 | 禪語
心靜自然涼。 | 俗語
萬里無雲萬里天，千江有水千江月。 | 禪語
坐石看雲，臥苔聽泉。 | 禪語
無事此靜坐，一日當兩日。 | 蘇軾
夜靜溪聲近，庭寒月色深。 | 禪語
綠水青山就是金山銀山。 | 俗語
日落沙明天倒開，波搖石動水回旋。 | 蘇軾
松風吹解帶，山月照彈琴。 | 王維
荷風送香氣，竹露滴清響。 | 孟浩然
結廬在人境，而無車馬喧。問君何能爾？心遠地自偏。 | 陶淵明
山氣日夕佳，飛鳥相與還。 | 陶淵明
天地有大美而不言，四時有明法而不議。 | 莊子
順應自然，便是最好的修行。 | 莊子
獨憐幽草澗邊生，上有黃鸝深樹鳴。 | 韋應物
春眠不覺曉，處處聞啼鳥。 | 孟浩然
遲日江山麗，春風花草香。 | 杜甫
晴空一鶴排雲上，便引詩情到碧霄。 | 劉禹錫
苔痕上階綠，草色入簾青。 | 劉禹錫
山不在高，有仙則名；水不在深，有龍則靈。 | 劉禹錫
兩岸青山相對出，孤帆一片日邊來。 | 李白
相看兩不厭，只有敬亭山。 | 李白
孤帆遠影碧空盡，唯見長江天際流。 | 李白
人閒桂花落，夜靜春山空。月出驚山鳥，時鳴春澗中。 | 王維
清溪深不測，隱處唯孤雲。 | 常建
山光悅鳥性，潭影空人心。 | 常建
萬物並育而不相害，道並行而不相悖。 | 禮記
靜以修身，儉以養德。 | 諸葛亮
知足常樂，能忍自安。 | 俗語
看山是山，看水是水；看山不是山，看水不是水；看山還是山，看水還是水。 | 青原行思
隨緣自適，煩惱即去。 | 禪語
放下執著，當下即是解脫。 | 禪語
心清如水，自然無塵。 | 禪語
松葉落地無聲，浮雲過空無痕。 | 禪語
聽溪流說法，看青山面壁。 | 禪語
浮生若夢，為歡幾何。 | 李白
雲在青天水在瓶。 | 李翱
青青山色，皆是本來面目。 | 禪語
閒看白雲，靜聽流水. | 禪語
行禪坐禪，無非是心。 | 禪語
心包太虛，量周沙界。 | 佛經
落葉歸根，自然之道。 | 俗語
水滴石穿，非一日之功。 | 俗語
桃李不言，下自成蹊。 | 史記
江流天地外，山色有無中。 | 王維
渡頭餘落日，墟里上孤煙。 | 王維
綠草如茵，歲月靜好。 | 禪語
天地與我並生，而萬物與我為一。 | 莊子
獨步林間，聽風的聲音。 | 禪語
白雲深處有人家。 | 杜牧
清風拂面，明月照懷。 | 禪語
心寬一寸，路寬一丈。 | 俗語
春到花自開，秋來葉自落。 | 禪語
山中無曆日，寒盡不知年。 | 太上隱者
靜靜地看，默默地聽，這就是自然。 | 禪語
晨鐘暮鼓，驚醒世間名利客。 | 禪語
心無罣礙，無罣礙故，無有恐怖。 | 心經
繁華落盡，見真淳。 | 元好問
寧靜的心，是萬物的鏡子。 | 禪語
隨遇而安，自得其樂。 | 俗語
聽雨落花台，看雲捲山巔。 | 禪語
每一片樹葉，都是自然的詩篇。 | 禪語
大自然是最好的療癒者。 | 禪語
處處無心處處禪。 | 禪語
