人類最獨特的能力，是說服自己做了正確的事。 | 馬克·吐溫
「做你自己」，是那些成功人士給失敗者的建議。 | PR
我們懷念的過去，是我們忘了有多糟的過去。 | PR
現代人的問題：活得太長，想得太多，錢賺得太少。 | 網路
社交媒體讓我們更「連結」，但也讓我們更孤獨。 | PR
廣告告訴你你缺什麼，賣的是你本來就有的不安全感。 | PR
教育的目的，是教我們接受現狀，同時說服我們那是我們選擇的。 | PR
勵志演講的本質：讓窮人感覺是他們自己的問題。 | 網路
我們努力工作，為了在退休後有時間享受我們太累享受的生活。 | PR
城市裡的人渴望自然，在自然裡的人渴望城市。 | PR
科技解決了問題，也創造了我們原本沒有的問題。 | PR
環保的最佳方式，是人類少生幾個。 | PR
媒體報導真相，但只報導對收視率有利的真相。 | PR
「你可以成為任何你想成為的人」——前提是你的家庭背景夠好。 | PR
我們用一輩子的時間賺錢，換來一個不確定能不能享受的老年。 | PR
社會就是一個大型騙局，但加入的人太多，所以還是照演。 | 王爾德
貧窮的人付更多稅，因為他們沒能力聘請懂稅法的人。 | PR
人類的歷史，就是不斷重蹈覆轍、並稱之為進步。 | PR
言論自由的真相：你可以說，但不代表有人要聽。 | PR
新聞的本質：把昨天的事，說成明天的警告。 | PR
最偉大的謊言：「我只是依照規定辦事。」 | PR
所謂「自由市場」，就是有錢人的市場更自由。 | PR
人類是唯一會為了意識形態殺人的動物。 | 馬克·吐溫
戰爭是老人決定，由年輕人去死的事。 | PR
名著之所以是名著，是因為大家說它是，但沒幾個人真的讀完。 | PR
心靈雞湯的問題：它只讓你感覺好，卻不解決問題。 | PR
「相信自己」是成功者的後見之明。 | PR
人類一思考，上帝就發笑。 | 海涅
所謂傳統，不過是上一代人留下來的偏見。 | PR
「為了下一代」，是政客決定今天什麼都不做的最佳藉口。 | PR
慈善的本質：讓有罪惡感的有錢人感覺好一點。 | 王爾德
人類最了不起的發明：讓別人工作，然後拿走大部分成果。 | PR
我們活在一個資訊爆炸但智慧稀缺的時代。 | PR
民族主義：認為你的出生地比別人的出生地好的信念。 | PR
自我成長產業的矛盾：如果你真的成長了，你就不需要他們了。 | PR
我們的手機越來越智慧，我們自己越來越不需要思考。 | PR
網路讓每個人都有發聲的機會，但大多數人選擇說廢話。 | PR
成功的秘訣：讓別人相信你比實際上更聰明。 | PR
現代人的困境：有太多選擇，以至於無法選擇。 | PR
英雄在勝利前叫做瘋子。 | PR
真正的問題，不是人工智慧變得太聰明，而是人類變得太懶。 | PR
說你「為人民服務」最多的人，通常最不為人民服務。 | PR
歷史教訓：人類從歷史中學到的唯一教訓，就是不會學到教訓。 | 黑格爾
上帝創造了人類，但這個實驗結果尚不明朗。 | 蕭伯納
進步是個好東西——等它解決了它自己製造的問題之後。 | PR
生活告訴你要微笑，但沒告訴你微笑的代價。 | PR
越來越多的人在「做自己」，卻越來越像同一種人。 | PR
「大數據」的本質：更有效地告訴你，你應該買什麼。 | PR
有些人用一輩子去追求自由，然後不知道自由到了要做什麼。 | PR
我們發明了省時機器，但沒有更多時間；發明了省力機器，但沒有更多力氣。 | PR
