神愛世人，甚至將祂的獨生子賜給他們，叫一切信祂的，不致滅亡，反得永生。 | 約翰福音 3:16
應當一無掛慮，只要凡事藉著禱告、祈求和感謝，將你們所要的告訴神。 | 腓立比書 4:6
神所賜出人意外的平安，必在基督耶穌裡保守你們的心懷意念。 | 腓立比書 4:7
耶和華是我的牧者，我必不致缺乏。 | 詩篇 23:1
我留下平安給你們，我將我的平安賜給你們。我所賜的，不像世人所賜的。你們心裡不要憂愁，也不要膽怯。 | 約翰福音 14:27
在人這是不能的，在神凡事都能。 | 馬太福音 19:26
萬事都互相效力，叫愛神的人得益處。 | 羅馬書 8:28
耶和華說：我知道我向你們所懷的意念是賜平安的意念，不是降災禍的意念，要叫你們末後有指望。 | 耶利米書 29:11
耶和華是我的亮光，是我的拯救，我還怕誰呢？耶和華是我性命的保障，我還懼誰呢？ | 詩篇 27:1
大山可以挪開，小山可以遷移；但我的慈愛必不離開你，我和平的約也不遷移。這是憐恤你的耶和華說的。 | 以賽亞書 54:10
耶和華靠近傷心的人，拯救靈性痛悔的人。 | 詩篇 34:18
你們要將一切的憂慮卸給神，因為祂顧念你們。 | 彼得前書 5:7
我們愛，因為神先愛我們。 | 約翰一書 4:19
愛是恆久忍耐，又有恩慈；愛是不嫉妒；愛是不自誇，不張狂。 | 哥林多前書 13:4
如今常存的有信，有望，有愛這三樣，其中最大的是愛。 | 哥林多前書 13:13
耶和華是我的力量，是我的盾牌，我心裡倚靠祂就得幫助。 | 詩篇 28:7
你們要先求祂的國和祂的義，這些東西都要加給你們了。 | 馬太福音 6:33
所以，不要為明天憂慮，因為明天自有明天的憂慮；一天的難處一天當就夠了。 | 馬太福音 6:34
我靠著那加給我力量的，凡事都能做。 | 腓立比書 4:13
我的恩典夠你用的，因為我的能力是在人的軟弱上顯得完全。 | 哥林多後書 12:9
喜樂的心乃是良藥；憂傷的靈使骨枯乾。 | 箴言 17:22
你們要清醒，要堅固，要做大丈夫，要剛強。 | 哥林多前書 16:13
祂使我的靈魂甦醒，為自己的名引導我走義路。 | 詩篇 23:3
我雖然行過死蔭的幽谷，也不怕遭害，因為你與我同在；你的杖，你的竿，都安慰我。 | 詩篇 23:4
在我看來，你的恩慈與誠實一生一世必隨影相隨。 | 詩篇 23:6
因為，祂的怒氣不過是轉眼之間，祂的恩典乃是一生之久。 | 詩篇 30:5
一宿雖然有哭泣，早晨便必歡呼。 | 詩篇 30:5
凡等候耶和華，心裡尋求祂的，耶和華必施恩給他。 | 耶利米哀歌 3:25
我們不致消滅，是出於耶和華諸般的慈愛；因祂的憐憫永不止息。 | 耶利米哀歌 3:22
每早晨，這都是新的；你的誠實極其廣大！ | 耶利米哀歌 3:23
主是我的幫助，我必不懼怕；人能把我怎麼樣呢？ | 希伯來書 13:6
耶穌基督昨日、今日、一直到永遠，是一樣的。 | 希伯來書 13:8
你們要靠主常常喜樂。我再說，你們要喜樂。 | 腓立比書 4:4
你要專心仰賴耶和華，不可倚靠自己的聰明。 | 箴言 3:5
在你一切所行的事上都要認定祂，祂必指引你的路。 | 箴言 3:6
神是我們的避難所，是我們的力量，是我們在患難中隨時的幫助。 | 詩篇 46:1
所以，地雖改變，山雖搖動到海心，我們也不害怕。 | 詩篇 46:2
你們要休息，要知道我是神！ | 詩篇 46:10
義人的腳步被耶和華立定；他的道路，耶和華也喜悅。 | 詩篇 37:23
他雖失腳也不至全身跌倒，因為耶和華用手扶持他。 | 詩篇 37:24
當將你的事交託耶和華，並倚靠祂，祂就必成全。 | 詩篇 37:5
祂必使你的公義如光發出，使你的公平明如正午。 | 詩篇 37:6
你的話是我腳前的燈，是我路上的光。 | 詩篇 119:105
我將你的話藏在心裡，免得我得罪你。 | 詩篇 119:11
少年人用什麼潔淨他的行為呢？是要遵行你的話！ | 詩篇 119:9
堅心倚賴你的，你必保守他十分平安，因為他倚靠你。 | 以賽亞書 26:3
你們當倚靠耶和華直到永遠，因為耶和華是永久的磐石。 | 以賽亞書 26:4
但那等候耶和華的必重新得力。他們必如鷹展翅上騰；他們奔跑卻不困倦，行走卻不疲乏。 | 以賽亞書 40:31
你不要害怕，因為我與你同在；不要驚惶，因為我是你的神。 | 以賽亞書 41:10
我必堅固你，我必幫助你；我必用我公義的右手扶持你。 | 以賽亞書 41:10
你們當負我的軛，學我的樣式；這樣，你們心裡就必得享安息。 | 馬太福音 11:29
因為我的軛是容易的，我的擔子是輕省的。 | 馬太福音 11:30
凡勞苦擔重擔的人可以到我這裡來，我就使你們得安息。 | 馬太福音 11:28
人活著，不是單靠食物，乃是靠神口裡所出的一切話。 | 馬太福音 4:4
你們若有彼此相愛的心，眾人因此就認出你們是我的門徒了。 | 約翰福音 13:35
我就是道路、真理、生命；若不藉著我，沒有人能到父那裡去。 | 約翰福音 14:6
你們若常在我裡面，我的話也常在你們裡面，凡你們所願意的，祈求，就給你們成就。 | 約翰福音 15:7
在世上，你們有苦難；但你們可以放心，我已經勝了世界。 | 約翰福音 16:33
耶穌對他說：你若能信，在信的人，凡事都能。 | 馬可福音 9:23
你們站著禱告的時候，若向人懷怨，當饒恕他，好叫你們在天上的父也饒恕你們的過犯。 | 馬可福音 11:25
施比受更為有福。 | 使徒行傳 20:35
除祂以外，別無拯救；因為在天下人間，沒有賜下別的名，我們可以靠著得救。 | 使徒行傳 4:12
聖靈所結的果子，就是仁愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、節制。 | 加拉太書 5:22-23
你們得救是本乎恩，也因著信；這並不是出於自己，乃是神所賜的。 | 以弗所書 2:8
也不出於行為，免得有人自誇。 | 以弗所書 2:9
生氣卻不要犯罪；不可含怒到日落。 | 以弗所書 4:26
要常常喜樂，不住地禱告，凡事謝恩；因為這是神在基督耶穌裡向你們所定的旨意。 | 帖撒羅尼迦前書 5:16-18
因為神賜給我們，不是膽怯的心，乃是剛強、仁愛、謹守的心。 | 提摩太後書 1:7
聖經都是神所默示的，於教訓、督責、使人歸正、教導人學義都是有益的。 | 提摩太後書 3:16
叫屬神的人得以完全，預備行各樣的善事。 | 提摩太後書 3:17
操練身體，益處還少；惟獨敬虔，凡事都有益處，因有今生 and 來生的應許。 | 提摩太前書 4:8
敬虔加上知足的心便是大利了。 | 提摩太前書 6:6
因為我們沒有帶什麼到世上來，也不能帶什麼去。 | 提摩太前書 6:7
只要有衣有食，就當知足。 | 提摩太前書 6:8
貪財是萬惡之根。有人貪戀錢財，就被引誘離了真道，用許多痛楚把自己刺透了。 | 提摩太前書 6:10
信就是所望之事的實底，是未見之事的确據。 | 希伯來書 11:1
人非有信，就不能得神的喜悅；因為到神面前來的人必須信有神，且信祂賞賜那尋求祂的人。 | 希伯來書 11:6
你們要順服神。務要抵擋魔鬼，魔鬼就必離開你們逃跑了。 | 雅各書 4:7
你們親近神，神就必親近你們。 | 雅各書 4:8
你們中間若有缺少智慧的，應當求那厚賜與眾人、也不斥責人的神，主就必賜給他。 | 雅各書 1:5
只要憑著信心求，一點不疑惑。 | 雅各書 1:6
因為聽道而不行道的，就像人對著鏡子看自己本來的面目。 | 雅各書 1:23
身體沒有靈魂是死的，信心沒有行為也是死的。 | 雅各書 2:26
神就是愛；住在愛裡面的，就住在神裡面，神也住在他裡面。 | 約翰一書 4:16
愛裡沒有懼怕；愛既完全，就把懼怕除去。 | 約翰一書 4:18
我們若認自己的罪，神是信實的，是公義的，必要赦免我們的罪，洗淨我們一切的不義。 | 約翰一書 1:9
看哪，我站在門外叩門，若有聽見我聲音就開門的，我要進到他那裡去，我與他，他與我一同坐席。 | 啟示錄 3:20
神要擦去他們一切的眼淚；不再有死亡，也不再有悲哀、哭嚎、疼痛，因為以前的事都過去了。 | 啟示錄 21:4
主耶和華是我的力量；祂使我的腳快如母鹿的蹄，又使我穩行在高處。 | 哈巴谷書 3:19
雖然無花果樹不發旺，葡萄樹不結果，橄欖樹也不效力，田地不出糧食，圈中絕了羊，棚內也沒有牛。 | 哈巴谷書 3:17
然而，我要因耶和華歡欣，因救我的神喜樂。 | 哈巴谷書 3:18
祂對我說：我的恩典夠你用的，因為我的能力是在人的軟弱上顯得完全。 | 哥林多後書 12:9
我們曉得萬事都互相效力，叫愛神的人得益處，就是按祂旨意被召的人。 | 羅馬書 8:28
誰能使我們與基督的愛隔絕呢？難道是患難嗎？是困苦嗎？是逼迫嗎？是飢餓嗎？是赤身露體嗎？是危險嗎？是刀劍嗎？ | 羅馬書 8:35
然而，靠著愛我們的主，在這一切的事上已經得勝有餘了。 | 羅馬書 8:37
因為我深信無論是死，是生，是天使，是掌權的，是有能的，是現在的事，是將來的事。 | 羅馬書 8:38
是高處的，是深處的，是別的受造之物，都不能叫我們與神的愛隔絕；這愛是在我們的主基督耶穌裡的。 | 羅馬書 8:39
