世界上只有一種真正的英雄主義，那就是在認清生活的真相後依然熱愛它。 | 羅曼·羅蘭
未經審視的生活是不值得過的。 | 蘇格拉底
我思故我在。 | 笛卡兒
人類是唯一知道自己將要死去的動物。 | 薩特
痛苦的人，沒有悲傷的權利。 | 卡謬
深淵也正在凝視著你。 | 尼采
重複的日常，就是西西弗斯的巨石。 | 卡謬
生命是一團慾望，慾望不滿足便痛苦，滿足便無聊。 | 叔本華
既然沒有什麼是真實的，那麼一切皆有可能。 | 尼采
最黑暗的時刻也是最接近光明的時刻。 | 塞內卡
孤獨是一群人的狂歡，狂歡是一群人的孤獨。 | 梭羅
死亡是生命最後的終點，也是它唯一的意義。 | 海德格
人生而自由，卻無往不在枷鎖之中。 | 盧梭
我們唯有在黑暗中，才能看見星星。 | 馬丁·路德·金
虛無不是終點，而是重新定義自我的起點。 | 薩特
所有命運贈送的禮物，早已在暗中標好了價格。 | 茨威格
認識自己。 | 德爾菲神廟
對於無法言說的事物，我們應當保持沉默。 | 維根斯坦
重要的不是活著，而是高尚地活著。 | 柏拉圖
世上最難的事，莫過於認識自己。 | 泰勒斯
命運掌握在自己手中，而不是在星空之中。 | 莎士比亞
沒有人是一座孤島，可以自全。 | 約翰·多恩
人是萬物的尺度。 | 普羅泰戈拉
人生不過是一場旅行，每一步都是在尋找回家的路。 | 奧古斯丁
智慧的起點是承認自己的無知。 | 蘇格拉底
如果你往深處看，你就會發現每個人都是孤獨的。 | 叔本華
人是一根有思想的蘆葦。 | 帕斯卡
所謂活著，就是不斷與荒謬進行抗爭。 | 卡謬
人生的悲劇不在於人的死亡，而在於他們停止了愛。 | 薩特
最深沉的孤獨，是靈魂失去了方向。 | 基爾克果
時間是流動的沙，握得越緊，流得越快。 | 奧勒留
即使世界明天毀滅，我今天依然要種下我的蘋果樹。 | 斯賓諾莎
命運並非不可改變，只是我們常常選擇順從。 | 塞內卡
當你凝視深淵時，深淵也正凝視著你。 | 尼采
自由是承擔責任的勇氣。 | 薩特
我們必須想像西西弗斯是快樂的。 | 卡謬
一切有始者，必有其終。 | 亞里斯多德
我們在痛苦中學到的，比在快樂中學到的更多。 | 叔本華
痛苦是人生的本質，而藝術是短暫的解藥。 | 叔本華
對於一個有思想的人來說，生活是一場悲劇。 | 瓦爾波爾
生活不是要等待暴風雨過去，而是要學會在雨中起舞。 | 蒙田
每一個不曾起舞的日子，都是對生命的辜負。 | 尼采
我們的痛苦來自於我們對事物的看法，而非事物本身。 | 愛比克泰德
生命本身沒有意義，除非你賦予它意義。 | 薩特
