權力使人腐化，絕對的權力使人絕對地腐化。 | 阿克頓爵士
民主的缺點是要忍受選民，獨裁的缺點是要相信獨裁者。 | 邱吉爾
民主是最壞的政府形式——除了其他所有形式。 | 邱吉爾
不參與政治的懲罰，就是被比你差的人統治。 | 柏拉圖
凡不在政治上選邊站的人，最終也會被政治選上。 | 布萊希特
政治是可能的藝術。 | 俾斯麥
一個政府害怕人民，那是自由；一個人民害怕政府，那是暴政。 | 托馬斯·傑佛遜
愛國主義是流氓最後的藏身之所。 | 塞繆爾·約翰遜
勝選者書寫歷史，失敗者留下傳說。 | PR
最危險的謊言，是幾乎說出真相的謊言。 | 易卜生
政治家看的是下一次選舉，政治家看的是下一個世代。 | 詹姆斯·弗里曼·克拉克
政治不分善惡，只分輸贏。 | 馬基維利
如果想要理解一個政府，看他們如何對待弱勢就夠了。 | 杜斯妥也夫斯基
自由的代價是永遠的警惕。 | 傑佛遜
沉默是暴力的共謀。 | 馬丁·路德·金
歷史由勝利者書寫，真相由倖存者保存。 | PR
在民主社會中，每一代人都必須重新爭取自由。 | 阿道斯·赫胥黎
當政府害怕人民，那就是自由；當人民害怕政府，那就是暴政。 | 傑佛遜
法律面前人人平等，但有些人比其他人更平等。 | 喬治·歐威爾
所有動物都是平等的，但有些動物比其他動物更平等。 | 喬治·歐威爾
對政治的最大危險，不是壞人的惡行，而是好人的沉默。 | 約翰·密爾
真正的愛國心，不是吹噓自己的國家有多偉大，而是努力讓它變得更好。 | 蕭伯納
政治語言的目的，是讓謊言聽起來真實。 | 喬治·歐威爾
我們不應該服從法律，除非它是公正的。 | 梭羅
腐敗不是政治問題，是人性問題。 | PR
新聞自由是對抗權力最有效的武器。 | 傑佛遜
選票是最強大的武器。 | 馬丁·路德·金
一個社會的最低道德標準，反映在它的法律上。 | 伯克
任何足夠強大的政府，能給你一切，也能拿走一切。 | 傑佛遜
歷史上的每個暴君，都曾以人民的名義行事。 | PR
貧窮不是犯罪，但它讓犯罪變得更容易。 | PR
最好的政府，是管最少的政府。 | 托馬斯·傑佛遜
民主死於黑暗。 | 華盛頓郵報格言
任何獨裁政權都是從一個緊急狀態開始的。 | PR
自由並非天生就有，需要每一代人去捍衛。 | 肯尼迪
歷史上沒有比「暫時放棄自由以換取安全」更危險的交易。 | 富蘭克林
政客為選舉而活，政治家為歷史而活。 | PR
民意就像空氣，政客靠它生存，卻無法把握它。 | PR
選舉是民主的儀式，不代表民主的實現。 | PR
政治不是骯髒的，骯髒的是那些讓政治變骯髒的人。 | PR
革命並非一場晚宴。 | 毛澤東
沒有永遠的敵人，沒有永遠的朋友，只有永遠的利益。 | 帕默斯頓
政治的悲劇在於：做正確的事，不一定能當選。 | PR
民主的前提，是一個願意思考的公民社會。 | 托克維爾
最難治理的國家，是那個人民太懶得監督政府的國家。 | PR
有時候，一個好的問題比一個好的答案更重要。 | 民主格言
革命的問題，不是要不要革命，而是革命後能不能建立秩序。 | PR
民主需要的不只是選票，還需要有人願意承擔被選上的責任。 | PR
法律是強者為弱者設計的，但執行時常常相反。 | PR
歷史給我們的最大教訓，就是我們從不從歷史學習。 | 邱吉爾
