The Bodhi is no tree, nor the bright mirror a stand. Since all is empty, where could dust alight? | Huineng
I walk to where the stream ends, and sit to watch the clouds rise. | Wang Wei
Picking chrysanthemums by the eastern fence, I gaze in calm upon the southern hills. | Tao Yuanming
Spring has its flowers, autumn its moon, summer its cool breeze, winter its snow. If no idle cares weigh on the mind, every season is a good one. | Chan Master Huikai
Looking back on the bleak road I came, I go home — to neither storm nor shine. | Su Shi
Watch all things in stillness and each is content; the joys of the four seasons are shared by all. | Cheng Hao
Great wisdom seems like folly; great skill seems clumsy. | Laozi
Man follows the earth, earth follows heaven, heaven follows the Way, and the Way follows nature. | Laozi
Water benefits all things yet does not contend; it dwells where none would, and so is close to the Way. | Laozi
A fresh breeze drifts in, and the water lies without a ripple. | Su Shi
The cicadas' din makes the woods seem stiller; the birdsong makes the mountain more serene. | Wang Ji
Be it wealth or want, take your joy; only the fool never laughs. | Bai Juyi
Empty hills, fresh after rain; the air turns to evening autumn. The bright moon shines through the pines; clear springs flow over the stones. | Wang Wei
Through simplicity, clarify your aims; through serenity, reach far. | Zhuge Liang
View flowers when half-open; drink wine until just tipsy. | Hong Yingming
Unmoved by favor or disgrace, watch the courtyard flowers bloom and fall; indifferent to staying or leaving, watch the clouds gather and drift. | Hong Yingming
Wind stirs the sparse bamboo, yet when it passes the bamboo keeps no sound; geese cross the cold pool, yet when they go the pool keeps no image. | Hong Yingming
A heart free of craving is an autumn sky and a clear sea; a seat with zither and books becomes the fairy isle of Penglai. | Hong Yingming
Alone I sit in the dark bamboo, playing my zither and whistling long. Deep in the woods, unknown to all, the bright moon comes to shine on me. | Wang Wei
In stillness, often weigh your own faults; in idle talk, never speak of others'. | Anonymous
What is there in the mountains? Many white clouds upon the ridge. I can delight in them myself, but cannot pluck them as a gift for you. | Tao Hongjing
Heed not the sound of rain through the leaves; why not sing, and stroll on at ease. | Su Shi
Bamboo cane and straw sandals beat a horse for ease — who's afraid? In a straw cloak through the misty rain, I'll live my whole life as I please. | Su Shi
Life is an inn we journey through, and I too am but a traveler. | Su Shi
In a thousand ravines, trees pierce the sky; through a thousand hills, the cuckoos cry. | Wang Wei
The stream's voice is the Buddha's endless sermon; the mountain's hue is nothing but his pure form. | Su Shi
In one flower, a world; in one leaf, enlightenment. | Buddhist Sutra
Every wall is a door; every retreat is an advance. | Zen Saying
When a single thought is pure, lotus flowers bloom everywhere. | Buddhist Sutra
The water flows, yet my heart does not race it; the clouds linger, and my thoughts grow slow with them. | Du Fu
The mountain never explains its height, yet still it towers. | Zen Saying
Leaves fall, the geese fly south; the north wind chills the river. | Meng Haoran
Clouds disperse and the sun appears; waters recede and the stones show — such is the way of nature. | Zen Saying
Birds roost in the trees by the pond; a monk knocks at a gate beneath the moon. | Jia Dao
Cup the water, and the moon rests in your hands; brush the flowers, and their scent fills your robe. | Yu Liangshi
Wildflowers fill the road; even solitude is fragrant. | Zen Saying
The great Way is utterly simple; understanding comes of itself. | Zen Saying
When the mind is calm, one is naturally cool. | Proverb
A sky clear for ten thousand miles is ten thousand miles of sky; where a thousand rivers hold water, a thousand rivers hold the moon. | Zen Saying
Sit on a stone to watch the clouds; lie on the moss to hear the spring. | Zen Saying
Sit quietly with nothing to do, and one day is worth two. | Su Shi
In the still night the stream sounds near; in the cold courtyard the moonlight deepens. | Zen Saying
Clear waters and green mountains are mountains of gold and silver. | Proverb
At sunset the sands gleam and the sky opens upside down; the waves rock, the stones seem to stir, and the water swirls. | Su Shi
The pine breeze loosens my sash; the mountain moon lights my zither. | Wang Wei
The lotus breeze carries its fragrance; bamboo dew drips a clear note. | Meng Haoran
I built my hut among men, yet hear no clatter of carriage or horse. You ask how this can be? When the heart is far, the place grows remote. | Tao Yuanming
The mountain air is lovely at dusk; the flying birds return together. | Tao Yuanming
Heaven and earth have great beauty yet say nothing; the four seasons have clear laws yet hold no debate. | Zhuangzi
To follow nature is the finest practice of all. | Zhuangzi
I love the quiet grass that grows by the stream, and above, an oriole singing deep in the trees. | Wei Yingwu
In spring I sleep, unaware of dawn; everywhere I hear the singing birds. | Meng Haoran
Under the lengthening sun the land is lovely; on the spring wind, flowers and grasses are fragrant. | Du Fu
A single crane climbing the clear sky lifts my poet's heart to the azure heights. | Liu Yuxi
Moss creeps green up the steps; the color of grass enters the blinds. | Liu Yuxi
A mountain need not be high — with an immortal, it is famed; water need not be deep — with a dragon, it is divine. | Liu Yuxi
Green hills on either bank rise to meet me; a lone sail comes from where the sun hangs. | Li Bai
Gazing at each other, never tiring — only Jingting Mountain and I. | Li Bai
The lone sail's distant shadow fades into blue emptiness; I see only the Yangtze flowing to the edge of the sky. | Li Bai
At leisure I watch the osmanthus fall; the night is still, the spring hills empty. The rising moon startles the mountain birds, who cry now and then in the spring ravine. | Wang Wei
The clear stream is fathomless deep; in this hidden place, only a lone cloud. | Chang Jian
The mountain light delights the birds; the pool's reflection empties the human heart. | Chang Jian
All things grow together without harming one another; the ways run side by side without conflict. | Book of Rites
Cultivate yourself through stillness; nurture virtue through frugality. | Zhuge Liang
Contentment brings lasting joy; patience brings peace. | Proverb
First, mountains are mountains and waters are waters; then mountains are not mountains and waters are not waters; at last, mountains are again mountains and waters again waters. | Qingyuan Weixin
Go with what comes and be at ease, and troubles depart. | Zen Saying
Let go of attachment, and this very moment is liberation. | Zen Saying
A heart clear as water is naturally free of dust. | Zen Saying
Pine needles fall to earth without a sound; drifting clouds cross the sky without a trace. | Zen Saying
Hear the stream preach the Dharma; watch the green mountain sit in meditation. | Zen Saying
This floating life is like a dream; how much joy can it hold? | Li Bai
The clouds are in the blue sky, the water in the jug. | Li Ao
The green of the hills is nothing but your original face. | Zen Saying
At leisure, watch the white clouds; in stillness, hear the flowing stream. | Zen Saying
Walking Zen or sitting Zen — it is nothing but the mind. | Zen Saying
The mind embraces the great void; its measure spans worlds beyond counting. | Buddhist Sutra
Fallen leaves return to the root — such is the way of nature. | Proverb
Dripping water bores through stone — not the work of a single day. | Proverb
The peach and plum say nothing, yet a path forms beneath them. | Records of the Grand Historian
The river flows beyond heaven and earth; the mountain's color hovers between being and none. | Wang Wei
At the ferry, the last of the setting sun; over the village, a lone thread of smoke. | Wang Wei
Green grass spreads like a carpet; the years are quiet and kind. | Zen Saying
Heaven and earth were born with me, and all things and I are one. | Zhuangzi
Walk alone in the woods, and listen to the voice of the wind. | Zen Saying
Deep among the white clouds, a home. | Du Mu
A fresh breeze brushes the face; the bright moon shines into the heart. | Zen Saying
Widen the heart an inch, and the road widens ten feet. | Proverb
When spring comes the flowers bloom of themselves; when autumn comes the leaves fall of themselves. | Zen Saying
In the mountains there is no calendar; the cold ends, yet I know not the year. | The Supreme Hermit
Watch in quiet, listen in silence — this is nature. | Zen Saying
Morning bell and evening drum wake the world's seekers of fame and gain. | Zen Saying
With no hindrance in the mind, and thus no hindrance, there is no fear. | Heart Sutra
When all the splendor falls away, the true and simple appears. | Yuan Haowen
A tranquil heart is the mirror of all things. | Zen Saying
Be at peace with whatever comes, and find your own joy. | Proverb
Hear the rain on the terrace of falling petals; watch the clouds roll over the mountain peak. | Zen Saying
Every leaf is a poem of nature. | Zen Saying
Nature is the finest healer of all. | Zen Saying
Where there is no clinging anywhere, there is Zen everywhere. | Zen Saying
