願我如星君如月，夜夜流光相皎潔。 | 范成大
身無彩鳳雙飛翼，心有靈犀一點通。 | 李商隱
曾經滄海難為水，除卻巫山不是雲。 | 元稹
在天願作比翼鳥，在地願為連理枝。 | 白居易
兩情若是久長時，又豈在朝朝暮暮。 | 秦觀
衣帶漸寬終不悔，為伊消得人憔悴。 | 柳永
眾裡尋他千百度，驀然回首，那人卻在燈火闌珊處。 | 辛棄疾
山有木兮木有枝，心悅君兮君不知。 | 越人歌
執子之手，與子偕老。 | 詩經
死生契闊，與子成說。 | 詩經
願得一心人，白頭不相離。 | 卓文君
玲瓏骰子安紅豆，入骨相思知不知。 | 溫庭筠
紅豆生南國，春來發幾枝。願君多採擷，此物最相思。 | 王維
此情可待成追憶，只是當時已惘然。 | 李商隱
春蠶到死絲方盡，蠟炬成灰淚始乾。 | 李商隱
何當共剪西窗燭，卻話巴山夜雨時。 | 李商隱
直道相思了無益，未妨惆悵是清狂。 | 李商隱
相見時難別亦難，東風無力百花殘。 | 李商隱
人生若只如初見，何事秋風悲畫扇。 | 納蘭性德
一生一代一雙人，爭教兩處銷魂。 | 納蘭性德
山無陵，江水為竭，冬雷震震，夏雨雪，天地合，乃敢與君絕。 | 漢樂府
十年生死兩茫茫，不思量，自難忘。 | 蘇軾
但願人長久，千里共嬋娟。 | 蘇軾
天長地久有時盡，此恨綿綿無絕期。 | 白居易
七月七日長生殿，夜半無人私語時。 | 白居易
在天願作比翼鳥，在地願為連理枝，是最古老的承諾。 | 佚名
入我相思門，知我相思苦。長相思兮長相憶，短相思兮無窮極。 | 李白
郎騎竹馬來，繞床弄青梅。同居長干里，兩小無嫌猜。 | 李白
平生不會相思，才會相思，便害相思。 | 徐再思
換我心，為你心，始知相憶深。 | 顧夐
花自飄零水自流，一種相思，兩處閒愁。 | 李清照
此情無計可消除，才下眉頭，卻上心頭。 | 李清照
月上柳梢頭，人約黃昏後。 | 歐陽修
情不知所起，一往而深。 | 湯顯祖
問世間，情為何物，直教生死相許。 | 元好問
多情自古傷離別，更那堪冷落清秋節。 | 柳永
今宵酒醒何處？楊柳岸，曉風殘月。 | 柳永
取次花叢懶回顧，半緣修道半緣君。 | 元稹
誠知此恨人人有，貧賤夫妻百事哀。 | 元稹
得成比目何辭死，願作鴛鴦不羨仙。 | 盧照鄰
只願君心似我心，定不負相思意。 | 李之儀
我住長江頭，君住長江尾。日日思君不見君，共飲長江水。 | 李之儀
天涯地角有窮時，只有相思無盡處。 | 晏殊
落花人獨立，微雨燕雙飛。 | 晏幾道
今夜月明人盡望，不知秋思落誰家。 | 王建
願君心似我心，歲歲年年不相負。 | 佚名
愛情不是彼此凝視，而是一起望向同一個方向。 | 聖修伯里
愛是恆久忍耐，又有恩慈。 | 聖經
被深愛給予你力量，深愛別人給予你勇氣。 | 老子
愛情使人忘記時間，時間也使人忘記愛情。 | 張小嫻
世上最遙遠的距離，是我站在你面前，你卻不知道我愛你。 | 張小嫻
喜歡是乍見之歡，愛是久處不厭。 | 佚名
陪伴是最長情的告白。 | 佚名
從前車馬很慢，書信很遠，一生只夠愛一個人。 | 木心
愛一個人，就是在他身上看見了自己想成為的樣子。 | 佚名
真正的愛情，是在認清生活的瑣碎之後，依然願意牽手同行。 | 佚名
我愛你，不光因為你的樣子，還因為和你在一起時，我的樣子。 | 羅伊·克里夫特
愛不是尋找一個完美的人，而是學會用完美的眼光欣賞一個不完美的人。 | 佚名
深情不及久伴，厚愛無需多言。 | 佚名
你的名字，是我讀過最短的情詩。 | 佚名
我見過千萬人，像你的髮，像你的眼，卻都不是你的臉。 | 佚名
最好的愛情，是兩個人彼此做個伴。 | 劉若英
愛情是燈，友情是影子。燈滅了，你會發現周圍都是影子。 | 佚名
小孩子才問你愛不愛我，大人只看你願不願意留下來。 | 佚名
答案很長，我準備用一生的時間來回答，你準備要聽了嗎？ | 林徽因
你是人間的四月天，笑響點亮了四面風。 | 林徽因
我行過許多地方的橋，看過許多次數的雲，喝過許多種類的酒，卻只愛過一個正當最好年齡的人。 | 沈從文
我們相愛一生，一生還是太短。 | 沈從文
草在結它的種子，風在搖它的葉子，我們站著不說話，就十分美好。 | 顧城
你站在橋上看風景，看風景的人在樓上看你。明月裝飾了你的窗子，你裝飾了別人的夢。 | 卞之琳
