早安！工作又開始了，夢想繼續暫停中。 | 網路
我不是懶，我只是在保存能量。 | 匿名
如果沒有什麼事解決不了，那就再睡一覺再說。 | 台灣智慧
人生最難的事，不是選擇，而是選了之後後悔也沒用。 | 網路
道理我都懂，但就是做不到，這就是人生。 | 匿名
我很努力，努力地在假裝努力。 | 職場觀察
今天也是充滿可能的一天——可能會遲到，可能會忘事，可能又浪費了一天。 | 網路
每天都告訴自己要節食，但冰箱的誘惑是真實的。 | 匿名
失眠的夜晚，想通了很多道理；早上醒來，全都忘了。 | 網路
世界上最幸福的事，就是鬧鐘響了你卻不用起床。 | 匿名
我的人生目標：一覺睡到自然醒，數錢數到手抽筋。 | 網路
努力不一定成功，但不努力一定很輕鬆。 | 反雞湯
越有錢的人越省錢，越沒錢的人越亂花，這就是世界的奧祕。 | 匿名
感謝我的對手，讓我知道我還有進步的空間，但我選擇不進步。 | 網路
今天不上班，明天也不想上班，這不是懶，這是對自由的嚮往。 | 匿名
如果生活給了你一個檸檬，就做成檸檬水，但先確定你有糖。 | 改版勵志語
道路是曲折的，前途是光明的，但GPS怎麼說我就怎麼走。 | 網路
我跟別人的差距，就在於他們在努力，而我在想要不要努力。 | 匿名
世界上最遠的距離，是我想睡覺，而鬧鐘卻要響了。 | 網路
別讓任何人告訴你做不到，除非那件事真的很累。 | 匿名
計劃趕不上變化，變化趕不上老闆的想法。 | 職場觀察
人到中年，最珍貴的不是錢，是睡到飽的假日。 | 匿名
我需要的不是雞湯，是解脫。 | 網路
凡事往好的方向想，比如今天塞車，至少不用急著上班。 | 正能量改版
人生就像WiFi，有時候連上了也沒什麼速度。 | 網路迷因
我不是沒有夢想，我是把夢想設定得很實際——活著就好。 | 匿名
週一的存在，就是為了讓你更珍惜週五。 | 網路
有些問題睡一覺就解決了，有些問題睡一覺還在，但至少睡好了。 | 匿名
不是所有努力都會有回報，但不努力一定不會有，所以我再想想。 | 反雞湯
我人在這裡，但心早就在回家的路上了。 | 下班前座右銘
加班的本質，是把明天的時間提前還給老闆。 | 職場觀察
人生最難的選擇：泡麵加蛋，還是加兩個蛋。 | 匿名
我不是在滑手機，我是在思考人生。 | 網路
活在當下，但帳單在未來。 | 網路
健身三分鐘，後悔三十年，我決定不後悔了。 | 懶人日記
說走就走的旅行，前提是你得有說走就走的錢。 | 現實觀察
我的座右銘：今天能拖的事，明天再說。 | 拖延症代言人
人生最大的謊言：「我馬上就好了。」 | 匿名
有人說快樂是種選擇，但沒錢的時候，選項就比較少。 | 網路
夢想很豐滿，現實很骨感，所以我決定增肥。 | 匿名
我的記性很好，但記的都是沒用的事。 | 網路
不要讓別人定義你，除非他們定義你是有錢的。 | 匿名
每次鬧鐘響，我就原諒了那個說要早起的自己。 | 早起困難戶
抱怨沒有用，但我還是要抱怨一下。 | 台灣人格言
人生是一場馬拉松，而我選擇坐在場邊加油。 | 匿名
今天也是充滿希望的一天，希望今天快點結束。 | 網路
有夢想的人叫做追夢者，沒有夢想的人叫做現實主義者。 | 匿名
拼命努力的結果，就是累死前多存一點錢給繼承的人。 | 諷刺名言
道理懂得越多，越覺得睡覺最有道理。 | 網路
努力是美德，但知道什麼時候不努力，才是智慧。 | 匿名
