May I be the star and you the moon, night after night shining pure together. | Fan Chengda
Though my body has no phoenix wings to fly to you, our hearts are linked by a single thread. | Li Shangyin
Once you have seen the sea, no other water will do; beyond Wu Mountain's clouds, none are clouds at all. | Yuan Zhen
In heaven, may we be two birds flying as one; on earth, two branches grown into one. | Bai Juyi
If two hearts are true and lasting, why must they be together morning and night? | Qin Guan
My belt grows looser, yet I have no regret — for her sake I waste away. | Liu Yong
Among the crowd I sought her a thousand times; then I turned, and there she was, where the lamps were burning low. | Xin Qiji
On the hill grow the trees, and the trees have boughs; my heart delights in you, though you do not know. | Song of the Yue Boatman
Take my hand, and we shall grow old together. | Book of Songs
Through death and parting, far or near, I made this vow with you. | Book of Songs
May I win a heart of one whose love stays true, that white-haired we shall never part. | Zhuo Wenjun
Red beans set in the carved dice — do you know how this longing pierces to the bone? | Wen Tingyun
Red beans grow in the southern land; in spring how many sprigs appear? Gather, my love, all that you can — for nothing speaks of longing more. | Wang Wei
This feeling could have become a thing to cherish; only, even then, it was already lost. | Li Shangyin
The silkworm spins until death ends its thread; the candle's tears dry only when it turns to ash. | Li Shangyin
When shall we trim the candle by the west window, and speak of this night of rain on Ba Mountain? | Li Shangyin
I know plainly that longing does no good — yet I don't mind this melancholy madness. | Li Shangyin
Meeting is hard, and parting harder still; the east wind fails, and a hundred flowers wither. | Li Shangyin
If life were only as it was at first sight, why would the autumn wind grieve the painted fan? | Nalan Xingde
One life, one age, a single pair — why must we waste away in two separate places? | Nalan Xingde
Only when the mountains wear flat, the rivers run dry, thunder rolls in winter and snow falls in summer, when heaven and earth merge — only then would I part from you. | Han Yuefu
Ten years, the living and the dead each blind to the other; I do not dwell on it, yet it is hard to forget. | Su Shi
May we live long, and though a thousand miles apart, share the beauty of this same moon. | Su Shi
Even heaven and earth, lasting as they are, shall one day end; but this sorrow stretches on without end. | Bai Juyi
On the seventh night, in the Hall of Longevity, at midnight, when no one was near, we whispered. | Bai Juyi
In heaven, two birds flying as one; on earth, two branches grown into one — the oldest of all vows. | Anonymous
Enter my gate of longing, and you'll know my longing's pain. Long is the longing, long the remembering; brief the longing, and yet without end. | Li Bai
You came riding a bamboo horse, circling the well, playing with green plums. We lived together in Changgan, two children, and never a doubt between us. | Li Bai
All my life I never knew longing; then I came to know it, and it became my affliction. | Xu Zaisi
Take my heart, make it your heart, and only then will you know how deep this longing runs. | Gu Xiong
The flowers drift down on their own, the water flows on its own — one longing, two places of quiet sorrow. | Li Qingzhao
There is no way to dispel this feeling: just gone from my brow, it rises again in my heart. | Li Qingzhao
The moon climbs to the willow's tip; we meet, the two of us, after dusk. | Ouyang Xiu
Love knows not how it begins, yet once begun it deepens beyond all measure. | Tang Xianzu
I ask the world: what is this thing called love, that it binds two lives in life and death? | Yuan Haowen
The tender-hearted have grieved at parting since ancient times — how much more in this cold, desolate autumn. | Liu Yong
Where shall I be when tonight's wine wears off? On the willow bank, beneath the dawn wind and the waning moon. | Liu Yong
I pass through the flowers and care not to look back — half for the sake of the Way, and half for you. | Yuan Zhen
I know full well this sorrow comes to everyone, yet for a poor and humble couple, all things are bitter. | Yuan Zhen
To be a pair of fish gliding side by side, I'd refuse not death; to be mandarin ducks, I'd not envy the immortals. | Lu Zhaolin
I only wish your heart were like mine — then surely I'd not fail this longing love. | Li Zhiyi
I live at the head of the great river, you at its mouth. Day after day I think of you unseen, yet we drink of the same river's water. | Li Zhiyi
The ends of the sky and the corners of the earth have their limits; only longing knows no bound. | Yan Shu
The flowers have fallen, and someone stands alone; in the fine rain, the swallows fly in pairs. | Yan Jidao
Tonight, when the moon is bright, all the world looks up; on whose house, I wonder, does this autumn longing fall? | Wang Jian
May your heart be like mine, year after year never failing each other. | Anonymous
Love is not two people gazing at each other, but two looking outward in the same direction. | Saint-Exupéry
Love is patient, love is kind. | The Bible
Being deeply loved gives you strength, and loving deeply gives you courage. | Laozi
Love makes us forget time, and time makes us forget love. | Amy Cheung
The farthest distance in the world is to stand before you, and you not know that I love you. | Amy Cheung
To like is the joy of first sight; to love is to never tire of long company. | Anonymous
Companionship is the most enduring confession of love. | Anonymous
In days gone by, carriages were slow, letters traveled far, and a lifetime was enough to love just one. | Mu Xin
To love someone is to see in them the person you wish to become. | Anonymous
True love is, after seeing through the trivia of daily life, still being willing to walk hand in hand. | Anonymous
I love you not only for who you are, but for who I am when I am with you. | Roy Croft
Love is not finding a perfect person, but learning to see an imperfect one with perfect eyes. | Anonymous
Deep feeling is no match for long company; deep love needs few words. | Anonymous
Your name is the shortest love poem I have ever read. | Anonymous
I have met thousands upon thousands — like your hair, like your eyes — yet none with your face. | Anonymous
The finest love is two people simply keeping each other company. | Rene Liu
Love is the lamp, friendship the shadow. When the lamp goes out, you find that shadows surround you. | Anonymous
Only children ask whether you love them; grown-ups only watch whether you're willing to stay. | Anonymous
The answer is long; I'll spend a lifetime giving it. Are you ready to hear it? | Lin Huiyin
You are the April of this world, your laughter lighting the wind from every side. | Lin Huiyin
I have crossed the bridges of many places, watched the clouds of many skies, tasted many kinds of wine, yet loved only one, in the very best of her years. | Shen Congwen
We love each other a lifetime, and a lifetime is still too short. | Shen Congwen
The grass is setting its seed, the wind is swaying its leaves; we stand and say nothing, and it is wonderful. | Gu Cheng
You stand on the bridge taking in the view; the one watching the view watches you from the tower. The bright moon adorns your window; you adorn another's dream. | Bian Zhilin
My clattering hooves are a beautiful mistake — I am no one come home, but a passer-by. | Zheng Chouyu
How can I let you meet me, in the loveliest moment of my life? | Xi Murong
When you are young, if you fall in love with someone, please be sure to treat them gently. | Xi Murong
Not every meeting has an outcome, but every meeting has a meaning. | Anonymous
In a world of so many cities, with so many bars in each, she walked into mine. | Casablanca (film)
Love, it turns out, is drinking poisoned wine with a smile. | Eileen Chang
To meet, among thousands upon thousands, the very one you were meant to meet — not a step too early, not a step too late — just in time. | Eileen Chang
Perhaps every man has had two such women in his life — at least two. | Eileen Chang
You ask me whether loving you is worth it; you should know that love never asks whether it is worth it. | Eileen Chang
Before I met you, I never thought of marriage; after I met you, I never thought of marrying anyone else. | Qian Zhongshu
The romance of rolling up your sleeves to cook is the deep love hidden in rice and salt and oil. | Anonymous
Marriage is a besieged fortress: those outside want in, and those inside want out. | Qian Zhongshu
"I love you" — the simplest and the hardest three words in all the world. | Anonymous
Love is a hand that reaches out, then draws itself back. | Salinger
Why is life so unhappy? Only because you haven't read Su Dongpo. Why does life pass so fast? Only because longing has entered your dreams. | Anonymous
Longing is a most mysterious thing, following you like a shadow. | Anonymous
To like someone brings no pain; to love someone may bring lasting pain, but the joy it gives is also the greatest joy in the world. | Sanmao
Each time I think of you, a grain of sand falls from the sky — and so the Sahara was formed. | Sanmao
If there is a next life, I would be a tree, standing as eternity, in a pose beyond joy and sorrow. | Sanmao
The years are beautiful in their inevitable passing — spring flowers, autumn moon, summer days, winter snow. If you bloom, the breeze will come. | Sanmao
Love that does not settle into the real life of dressing, eating, counting money, and sleeping is not easily made to last. | Sanmao
Awake, I think of you; asleep, I dream of you. You are all my days and all my nights. | Anonymous
True love is like a ghost: many speak of it, few have seen it. | La Rochefoucauld
Love is but another name for understanding and tenderness. | Tagore
The eyes rain for her, while the heart holds an umbrella for her — that is love. | Tagore
The farthest distance in the world is not life and death, but standing before you, and you not knowing that I love you. | Tagore
May there be enough clouds in your life to make a glorious sunset. | Bing Xin
Love on the left, affection on the right, walking the road of life on either side, sowing at any moment, blooming at any moment. | Bing Xin
