世界那麼大，我只想牽你的手走。 | Love
喜歡你，喜歡到想把所有好東西都和你分享。 | Helena
我不需要全世界，只需要你在。 | Love
你笑起來的樣子，是我見過最美的風景。 | 戀人絮語
遇見你，是我這輩子最好的意外。 | Love
我愛你，不是因為你完美，而是因為你是你。 | 戀人金句
只要你在，哪裡都是家。 | 網路
睡前最後一個想到的人，就是最在乎的人。 | 戀愛觀察
謝謝你願意接受不完美的我。 | Love
如果有下輩子，我還是選你。 | 戀人誓言
你的存在，讓普通的日子有了光。 | Love
我喜歡你說話的樣子，哪怕說的是廢話。 | 戀人絮語
你不在的時候，總覺得少了什麼。 | Love
一起老去，是我想到的最浪漫的事。 | Love
不需要多轟烈，只要細水長流就夠了。 | 長情的人
因為你，我開始相信緣分這件事。 | Love
喜歡你這件事，從來不需要理由。 | 戀人絮語
你是我願意為之改變的那個人。 | Love
好好的，我在這裡。 | Ivan
不說愛你，但每件事都為你。 | 含蓄的愛
你知道嗎？你笑的時候，全世界都亮了。 | Love
我想在最普通的日子裡，陪你做最普通的事。 | 平凡的愛
願意為你等待，因為等你是件幸福的事。 | Love
看見你好好的，我就放心了。 | 默默的愛
你是我所有好消息的第一個接收者。 | Love
吵架也好，和好也好，只要還在一起就好。 | 戀愛現實
愛，是兩個人都覺得自己賺到了。 | 戀愛哲學
你讓我想成為更好的人。 | 激勵型愛情
不必每天甜言蜜語，只要每天都還在就夠了。 | 長期戀愛
謝謝你，懂我話裡那些沒說出口的意思。 | 心靈契合
你是我最想分享生活每個細節的人。 | Love
愛情最美的模樣，是把你的習慣，變成我的習慣。 | Love
我喜歡你睡著的樣子，那是你最放鬆的時候。 | 深情絮語
有你在，再壞的日子也有了顏色。 | Love
不需要驚天動地，只需要你還在我身邊。 | 戀人格言
你的喜怒哀樂，我都想陪你感受。 | 共情之愛
牽手的感覺，是我最喜歡的安全感。 | Love
也許我不擅長表達，但你知道我心裡只有你。 | 內斂的愛
喜歡你，所以想讓你過得好。 | 純粹的愛
每次見到你，心跳的速度還是和第一次一樣。 | 不減退的愛
和你在一起，連沉默都是溫柔的。 | 靈魂伴侶
謝謝你，讓我知道被愛是什麼感覺。 | Love
不管路有多遠，我都想和你一起走。 | 戀人誓言
你的名字，是我心裡最軟的地方。 | Love
我不怕黑，只要你在。 | 依賴的愛
和你說話，是我最喜歡做的事。 | 戀愛日常
願意等你，因為你值得我等。 | Love
你讓我相信，這個世界還有美好的事。 | 愛的療癒
我只是想讓你知道，有人真的很在乎你。 | Love
愛你，是我做過最對的一件事。 | 戀人告白
